*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28265553,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,216,7,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265553,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,216,7,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28265450,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,77,6,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265450,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,77,6,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28265329,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,77,5,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265329,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,77,5,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28265228,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,77,4,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265228,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,77,4,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28265128,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,95,3,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265128,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,95,3,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28265017,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,170,2,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28265017,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,170,2,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28264910,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,102,1,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28264910,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,102,1,2022-01-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
<EOF>
